,centroid-0,centroid-1,area,convex_area,extent,eccentricity,orientation
1,0.8947368421052632,3803.2631578947367,19,20,0.9047619047619048,0.9162543056384097,-0.09431960811225149
2,45.108224693251536,4483.591880751534,20864,32596,0.495346628679962,0.9480776632462883,-3.1181455833056324
4,123.96575512569332,5084.04942189354,36239,73010,0.30361855609641664,0.8729546800923107,-2.9449535776440974
5,2.6984126984126986,5614.984126984127,63,73,0.7159090909090909,0.7233131401831349,-0.09397594012932164
7,9.30817610062893,4926.861635220126,159,208,0.4818181818181818,0.9268659500271181,-0.4167064761902013
8,8.23076923076923,5319.538461538462,52,59,0.6753246753246753,0.8730333955209183,-1.2007069341524912
9,4.565217391304348,5604.608695652174,23,23,0.9583333333333334,0.7575445159811209,-3.034058584394182
10,8.451612903225806,5332.10752688172,93,99,0.768595041322314,0.522760190315638,-2.4205303545295274
11,5.9411764705882355,5585.588235294118,17,18,0.85,0.759283494666158,-1.136178924061965
12,10.575,4330.975,40,43,0.7142857142857143,0.8076767349959315,-0.880532236455741
13,18.01801801801802,5055.054054054054,111,135,0.502262443438914,0.9247037127511535,-0.9520310216002561
14,14.676470588235293,4339.117647058823,34,41,0.6296296296296297,0.9001921079104023,-2.014750912507391
15,18.47222222222222,3787.972222222222,36,40,0.75,0.7414998629650208,-3.135978232359621
16,20.977272727272727,5099.590909090909,44,47,0.8148148148148148,0.7859576101590432,-1.9095456292959834
19,37.66013071895425,4311.558823529412,306,471,0.4396551724137931,0.7646827103920217,-1.7383429652062103
20,29.166666666666668,4329.666666666667,18,19,0.9,0.6989295601575879,-1.8726709934936148
21,29.571428571428573,5290.714285714285,21,26,0.5833333333333334,0.9009177948757828,-2.4023591575581444
22,29.6,5083.6,15,15,0.9375,0.4898979485566357,-0.7853981633974483
25,39.5,4183.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
26,60.097646033129905,5266.85614646905,1147,1669,0.48891730605285594,0.9088130866140102,-0.24143410594281378
27,46.0,3882.5,18,18,1.0,0.8783100656536799,0.0
28,50.38461538461539,4300.846153846154,39,44,0.78,0.8946007162210453,-1.615108719014499
29,49.57446808510638,4960.829787234043,47,48,0.8392857142857143,0.45625019697153635,-1.7300268730834405
30,49.6140350877193,4974.9473684210525,57,62,0.7916666666666666,0.5291553925750172,-0.21134420140242938
