,centroid-0,centroid-1,area,convex_area,extent,eccentricity,orientation
1,594.4547069271758,3978.3641207815276,1126,1795,0.29216398546964195,0.96849703963665,-2.6621183563687794
2,735.1458333333334,2847.8333333333335,48,48,0.8571428571428571,0.6251405757637997,-2.112375810136563
3,746.5909090909091,4223.7,110,130,0.5555555555555556,0.903357540146019,-0.3475369077510242
4,766.1881188118812,2857.7821782178216,101,109,0.8015873015873016,0.8111830978502791,-1.3731457537307263
5,779.3870967741935,3760.548387096774,31,31,0.96875,0.8714721910315262,-1.5248732636625277
7,865.5,4008.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
8,867.0,2963.0,15,15,1.0,0.816496580927726,0.0
9,893.5,2533.0333333333333,60,63,0.9090909090909091,0.8546646833409515,-0.06024915408478848
10,900.0,2548.0,15,15,1.0,0.816496580927726,-1.5707963267948966
12,903.5,4019.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
14,908.0,4008.3333333333335,18,18,0.9,0.6123724356957945,-1.5707963267948966
15,908.4,2524.6,15,15,0.9375,0.4898979485566355,-0.785398163397448
18,921.6126126126126,2363.3603603603606,222,259,0.47435897435897434,0.9814257427075821,-2.9070028615591803
20,920.6538461538462,4015.423076923077,26,27,0.7222222222222222,0.8361451547667882,-0.8262625651220253
21,920.8695652173913,4051.695652173913,23,25,0.8214285714285714,0.8841155890112264,-1.3683504336523549
22,920.974358974359,4144.076923076923,39,46,0.7090909090909091,0.9323561648302178,-0.16427125423592415
23,926.8,2691.5,30,33,0.8333333333333334,0.9211241176116961,-1.461002445967255
24,926.6071428571429,4001.8928571428573,28,31,0.6666666666666666,0.8756523830368138,-0.6018879218442781
25,934.0225225225225,4174.063063063063,222,282,0.5285714285714286,0.9244813562677568,-0.22624235662189585
27,935.7727272727273,4003.7272727272725,44,48,0.8,0.9190434894874825,-1.7228019157179673
28,937.8,2692.8333333333335,30,31,0.8571428571428571,0.7825229892387202,-1.9097994451653637
29,945.6139240506329,2364.4430379746836,158,168,0.6929824561403509,0.840390526732673,-2.819721619922708
31,944.8260869565217,4057.1304347826085,23,24,0.92,0.5204041439252234,-0.6613414388491099
32,947.6461538461539,2327.9692307692308,130,165,0.6190476190476191,0.9935464738624564,-3.089237102138706
33,946.2857142857143,3975.285714285714,21,22,0.875,0.8146907709715228,-2.9487521660051614
34,948.0454545454545,4004.3636363636365,22,25,0.7857142857142857,0.8993655236464688,-1.330644664571045
35,948.0,4087.0,15,15,1.0,0.816496580927726,0.0
36,954.0763358778626,4139.93893129771,131,139,0.793939393939394,0.6764738069639731,-1.6488421791502461
37,972.8906752411575,4627.575562700965,622,834,0.24682539682539684,0.976503546808245,-0.5775526038490123
38,953.1428571428571,3849.8571428571427,21,21,0.84,0.712241974147557,-2.356194490192345
39,960.7333333333333,4006.4666666666667,45,53,0.8035714285714286,0.9681320798622984,-1.5580318795828072
40,958.0,4058.0,15,15,1.0,0.816496580927726,-1.5707963267948966
41,961.5,4151.5,16,16,1.0,0.0,-0.7853981633974483
42,1004.511615720524,2644.68192139738,5725,6028,0.7015931372549019,0.794842589961499,-2.656735384870982
43,963.0,4156.5,12,12,1.0,0.6831300510639732,0.0
44,974.2234042553191,4033.425531914894,94,153,0.39166666666666666,0.8921109729314065,-0.8598012398155856
45,969.5,2298.0,24,24,0.8,0.7875027964065154,-0.9673876416522702
46,971.1071428571429,2324.5714285714284,28,31,0.7,0.911202887063343,-2.7903227310000416
47,1089.046004842615,4037.9134382566585,1652,7215,0.11658433309809457,0.9697859899657866,-1.416948795867684
48,971.5,2305.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
49,984.7317073170732,4100.40712945591,1066,1118,0.7163978494623656,0.8059851153518097,-2.8323985153951705
50,975.125,3989.075,40,47,0.6349206349206349,0.9002004122909194,-1.1596022283721263
51,975.9090909090909,2312.909090909091,22,22,0.88,0.4282593998234223,-2.356194490192345
52,985.9932432432432,4057.5405405405404,148,218,0.5034013605442177,0.7887485358161893,-1.5794315617739936
55,984.3333333333334,4044.25,36,38,0.7346938775510204,0.7759861079140673,-2.3200078036579623
56,991.1327014218009,2342.0189573459716,211,303,0.3836363636363636,0.9035305331285998,-2.4507369542112887
57,993.6842105263158,4027.6526315789474,95,156,0.45454545454545453,0.8755673759190093,-1.4544559543671618
59,996.2727272727273,2324.5454545454545,33,36,0.7857142857142857,0.6528308305791193,-1.3655176027739713
60,1024.7174959871588,3911.4205457463886,623,1745,0.11835106382978723,0.9844179405974901,-0.49823951386550536
61,1019.3810810810811,4049.8216216216215,370,600,0.2790346907993967,0.9819334299798064,-1.1797948138759224
62,1002.2291666666666,4135.572916666667,96,124,0.5133689839572193,0.9370383254210481,-0.29535857899632867
63,999.8,4663.4,30,33,0.75,0.8700323324231128,-2.849092848804008
64,1015.0,2318.111801242236,161,221,0.38333333333333336,0.9530190323255121,-2.274257927320418
65,1007.15,2335.55,20,23,0.6666666666666666,0.876131059718132,-2.5283853047152838
66,1008.578947368421,4021.8947368421054,19,19,0.95,0.6322808964466018,-0.22375998757858495
67,1010.5,3993.0,18,18,0.9,0.6934837441847964,-2.7382568788790387
68,1014.3636363636364,4078.896103896104,77,81,0.7,0.8222524653028166,-2.323874226576455
69,1039.3770913770913,4103.7425997426,777,1076,0.4805194805194805,0.9149624798432282,-1.9885667626405734
70,1038.0892255892256,2372.4410774410776,594,805,0.54,0.910725359182862,-1.4262464933096295
71,1014.4285714285714,3903.0,21,24,0.75,0.9146890665807529,-0.25336219646228386
72,1018.0,3863.5,12,12,1.0,0.6831300510639732,0.0
74,1020.0,3869.5,24,24,0.8,0.7875027964065154,-0.6034086851426262
75,1026.7076923076922,2160.507692307692,65,71,0.7738095238095238,0.922274430469119,-1.6019309415127365
76,1023.5,4007.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
77,1024.4,4002.4,15,15,0.9375,0.4898979485566357,-0.7853981633974483
78,1028.0,4014.375,32,36,0.8,0.84691316246821,-1.8313987185422376
79,1028.6190476190477,4287.309523809524,42,46,0.65625,0.8810151052630062,-0.8516907421458139
80,1042.5555555555557,3899.4444444444443,72,97,0.5714285714285714,0.8464155831078414,-1.4258594171522847
81,1039.3214285714287,4017.714285714286,28,33,0.7,0.8870629577036722,-1.8839972259573474
83,1041.5,2143.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
84,1041.8333333333333,3881.6666666666665,18,19,0.9,0.6989295601575878,-1.2689216600961783
85,1043.0,3888.0,15,15,1.0,0.816496580927726,0.0
86,1054.0672268907563,2155.016806722689,119,136,0.6761363636363636,0.9523404143478501,-1.5208844380044875
87,1049.725,2679.5625,80,110,0.49382716049382713,0.9464070364568032,-0.3661193378462637
88,1055.2549019607843,3966.8627450980393,51,60,0.5604395604395604,0.9548947953512534,-1.2155736567220043
89,1050.9310344827586,4081.4137931034484,29,29,0.9666666666666667,0.5759048965827146,-2.9466337216243668
90,1051.5,4023.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
91,1061.359649122807,3911.0263157894738,114,162,0.32386363636363635,0.9789498750308495,-1.0522091372180333
92,1060.081081081081,4015.2702702702704,74,113,0.5285714285714286,0.8589268955877103,-1.3570821104324282
93,1056.9583333333333,2671.4166666666665,24,25,0.8,0.787020578276199,-0.5005437108015578
95,1069.2394366197184,2682.4225352112676,142,197,0.5201465201465202,0.9314163814674828,-1.924129356324135
96,1065.0294117647059,3946.4117647058824,34,39,0.7727272727272727,0.9606658440068598,-1.4288293331326818
97,1062.5,2356.5,16,16,1.0,0.0,-0.7853981633974483
98,1064.475,2675.6,40,41,0.8333333333333334,0.7312224154021679,-1.9650006279592156
99,1066.0,2360.5,16,18,0.8,0.8141614619221464,-2.0256729057670015
102,1071.578947368421,4097.894736842105,19,19,0.95,0.6322808964466018,-0.22375998757858495
103,1072.0,2445.5,12,12,1.0,0.6831300510639732,0.0
104,1101.121951219512,4024.212860310421,451,758,0.2591954022988506,0.9785705481851289,-1.1438582368644061
105,1076.8709677419354,2627.3225806451615,31,34,0.7380952380952381,0.8189814422881525,-2.5955399869947184
106,1075.5714285714287,2670.4285714285716,21,22,0.875,0.8054461593960613,-0.2760764952277517
107,1094.7027027027027,3920.175675675676,148,254,0.4625,0.9913555285156219,-1.5478606509681887
108,1079.578947368421,3945.5263157894738,19,21,0.7916666666666666,0.8648250907976306,-2.819842099193151
109,1080.5,2153.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
110,1084.2641509433963,4087.2075471698113,53,55,0.7361111111111112,0.7669130076808638,-0.6084045472999936
111,1082.5,3979.5,14,14,0.875,0.6708203932499369,-0.7853981633974483
113,1086.5,3940.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
114,1110.4797734627832,4102.324433656958,1236,1552,0.5373913043478261,0.8482055868223554,-0.6329800523178308
117,1106.0,3940.3650793650795,126,176,0.5185185185185185,0.9709672038474783,-1.4446951896819904
118,1099.4,4146.517241379311,145,159,0.7754010695187166,0.7393655927649451,-3.0735516786182937
122,1122.5280528052806,4151.584158415842,303,427,0.47492163009404387,0.7329446697208626,-1.5105037649016297
123,1116.0,4165.5,18,22,0.6,0.9109265799407509,-2.5535900500422257
124,1118.25,3925.75,24,26,0.8571428571428571,0.8748177652797064,-1.7126933813990606
125,1139.094674556213,3941.189349112426,169,254,0.43333333333333335,0.9611003562184118,-1.3747135159715314
126,1130.607142857143,3926.375,56,62,0.8,0.9462137248256748,-1.5553103659271657
127,1127.4,4274.4,15,15,0.9375,0.4898979485566357,-0.7853981633974483
128,1138.842105263158,4138.6,95,106,0.7851239669421488,0.3468371131910205,-1.5707963267948966
129,1143.0229885057472,4156.781609195402,87,123,0.5272727272727272,0.8682694581297129,-0.24040155933462515
130,1142.5,3934.5,14,14,0.875,0.6708203932499369,-2.356194490192345
131,1148.962962962963,4147.814814814815,27,31,0.7714285714285715,0.7734562474078379,-2.9422690827302214
132,1150.5,4176.0,18,18,1.0,0.8783100656536799,-1.5707963267948966
134,1152.6666666666667,2143.0,18,18,0.9,0.6123724356957945,0.0
136,1155.3428571428572,4010.0,35,40,0.7,0.9313755010565643,-1.7588624353197766
137,1156.4666666666667,4273.266666666666,60,64,0.8333333333333334,0.8693345794529845,-1.6103029064275731
138,1154.0,2137.5,12,12,1.0,0.6831300510639732,0.0
141,1158.0,2673.5,18,18,0.9,0.6934837441847964,-1.1674605520841417
142,1170.03738317757,3959.5607476635514,107,190,0.30484330484330485,0.9695237981765779,-1.2363558257818115
143,1206.0636267232237,4075.8282078472957,943,1770,0.22777777777777777,0.9731127778434383,-1.1574185612170065
144,1163.1363636363637,4125.590909090909,22,23,0.7333333333333333,0.8453674504713011,-2.543804822621498
146,1165.8846153846155,4252.5,26,27,0.8666666666666667,0.5772285936406557,-2.762605843887497
147,1171.093023255814,4264.46511627907,43,46,0.7962962962962963,0.8203131396652824,-1.3573833673218538
148,1171.8536585365853,4078.317073170732,41,47,0.640625,0.8717038926278806,-0.8301047387931174
149,1169.0,4286.5,12,12,1.0,0.6831300510639732,0.0
150,1177.92,4286.06,50,53,0.8333333333333334,0.861992055085372,-1.4003356143519727
151,1182.0,4250.176470588235,34,37,0.7555555555555555,0.9056716354529494,-1.315438132951401
153,1181.5833333333333,4167.833333333333,24,26,0.8,0.7714991702217725,-1.008527192253186
154,1189.6640625,4292.078125,128,142,0.7619047619047619,0.9456010642298409,-1.6844024616949744
155,1186.6511627906978,3971.5813953488373,43,49,0.5972222222222222,0.9581710010319258,-1.8967621611891126
156,1182.5,4278.5,14,14,0.875,0.6708203932499369,-0.7853981633974483
157,1188.0,2600.0,27,27,1.0,0.9486832980505138,-1.5707963267948966
158,1187.5,4171.5,14,14,0.875,0.6708203932499369,-0.7853981633974483
159,1194.6507936507937,4278.793650793651,63,81,0.5384615384615384,0.912785672018871,-2.044608973006501
