,centroid-0,centroid-1,area,convex_area,extent,eccentricity,orientation
0,0.95,7.15,20,20,0.9523809523809523,0.9103928087251936,-0.05095918374043684
1,149.44792671905395,121.63322763966117,65283,81241,0.47085424961052447,0.8407211545450514,-2.256910531292262
2,3.0,116.0,49,49,1.0,0.0,-0.7853981633974483
4,2.1875,206.24107142857142,112,130,0.7466666666666667,0.9759674347957272,-3.059840567961287
5,46.92522612418322,573.5847362152766,31067,53761,0.43549630626463126,0.9743500317678037,-3.0741567661336164
6,1.8870967741935485,397.03225806451616,62,63,0.8857142857142857,0.9308687026622712,-0.08977697271859197
7,4.055555555555555,414.2111111111111,90,108,0.7692307692307693,0.7462454105677545,-0.01692840258979622
9,2.9655172413793105,465.7931034482759,58,74,0.5858585858585859,0.8837817414069603,-0.5372925566759086
11,0.8461538461538461,479.0,13,13,0.8666666666666667,0.8064425896179159,0.0
12,2.1036585365853657,506.5060975609756,164,246,0.45555555555555555,0.9884852111062064,-3.0572020600007237
13,13.304388422035482,966.6258948023653,3213,5796,0.3380681818181818,0.9739528819249696,-3.0961829775260172
15,45.42207997114908,1346.1410990398053,22183,40615,0.37882746725412847,0.9665179381197871,-0.10442762058076616
16,16.83991462113127,1464.837780149413,937,1568,0.4232158988256549,0.8394822025509511,-2.308863855130114
17,0.8461538461538461,1539.2307692307693,13,14,0.8666666666666667,0.848528137423857,-0.19739555984988066
18,0.9285714285714286,1545.857142857143,14,14,0.9333333333333333,0.8165399631383785,-3.0166033428593817
19,3.7,1563.1555555555556,90,130,0.4411764705882353,0.9085582842524,-0.5116992730700731
23,131.05989320551632,2143.8018205516314,47568,176769,0.16461794019933554,0.7838162637670669,-0.43942151940256524
24,1.4090909090909092,2106.0454545454545,44,45,0.9166666666666666,0.9404949580357423,-3.0882248172652256
25,17.937434094903338,2260.7838312829526,2845,4820,0.3961292119186856,0.9306590049268098,-0.05912949354952035
26,0.8947368421052632,2333.0,19,19,0.9047619047619048,0.9062955427702903,-3.141592653589793
28,2.261904761904762,6104.619047619048,42,51,0.5454545454545454,0.9090804115035318,-0.5063599818113742
29,7.913461538461538,1760.5961538461538,104,114,0.7272727272727273,0.31332635940731923,-1.6089080204699286
30,4.0,176.0,15,15,1.0,0.816496580927726,0.0
31,6.0,1079.5,32,34,0.7619047619047619,0.8161190973321484,-1.0881704951999334
32,5.827586206896552,1942.8275862068965,29,33,0.6904761904761905,0.7729788418343125,-0.9966639401381031
34,5.8,1595.44,25,25,0.8333333333333334,0.6579389213650304,-2.705741472957082
35,5.5,1809.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
36,6.6,460.4,15,15,0.9375,0.4898979485566357,-2.356194490192345
37,6.5,2100.5,14,14,0.875,0.6708203932499369,-2.356194490192345
38,8.0,1670.5,16,18,0.8,0.8141614619221464,-2.0256729057670015
39,9.707317073170731,490.5121951219512,41,44,0.8541666666666666,0.7653356817410558,-2.867803486941388
40,10.571428571428571,5801.25974025974,77,83,0.7129629629629629,0.852539400413066,-2.6245028809068724
41,13.068181818181818,1055.4772727272727,44,48,0.7857142857142857,0.7535698377629054,-1.0244773952842885
42,17.24137931034483,1562.1724137931035,58,77,0.5918367346938775,0.9338570444414861,-1.4226125354835053
43,13.047619047619047,6118.428571428572,21,23,0.7,0.8714131649608411,-0.5733269226815993
44,16.0,887.5,22,24,0.7857142857142857,0.9011742438534018,-1.8320890675929893
45,17.28787878787879,1587.469696969697,66,74,0.6666666666666666,0.7833544664035742,-1.0196574892152195
46,16.5,2010.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
47,18.1,6125.5,30,34,0.7142857142857143,0.8045359659583164,-0.9710368083088621
48,23.97902097902098,1039.1118881118882,143,171,0.5958333333333333,0.8272185777819177,-2.2540524594660805
49,19.307692307692307,1855.2307692307693,26,30,0.7428571428571429,0.8455189200447584,-2.708634975836262
51,28.442508710801395,1726.6271777003485,287,318,0.767379679144385,0.6830666979120669,-1.3022308269381857
52,23.339622641509433,1751.132075471698,53,64,0.6309523809523809,0.8960425579863665,-1.8631488107837009
54,23.428571428571427,890.0,21,24,0.75,0.9146890665807529,-0.25336219646228386
56,25.807692307692307,1822.6153846153845,26,27,0.9285714285714286,0.839611806672905,-1.4539885688636098
58,30.211267605633804,1609.1408450704225,71,81,0.5867768595041323,0.8814905694146762,-0.8532241707938562
59,30.360655737704917,1814.1311475409836,61,73,0.6354166666666666,0.8658935885853997,-1.2268359655449144
60,39.18975332068311,1866.8140417457305,527,597,0.6654040404040404,0.7632614181107615,-1.254978536306111
62,30.73170731707317,1761.8048780487804,41,47,0.5694444444444444,0.9076279074801885,-0.650253307262592
63,28.0,1805.5,12,12,1.0,0.6831300510639732,0.0
64,42.506211180124225,866.5683229813665,322,593,0.3245967741935484,0.9223939224003768,-0.5959276375683276
66,31.6,817.6,15,15,0.9375,0.4898979485566357,-0.7853981633974483
67,34.0,2223.0,15,15,1.0,0.816496580927726,-1.5707963267948966
68,36.7007874015748,990.1653543307086,127,159,0.6614583333333334,0.9633358382787734,-0.08052215819489739
69,38.5,1593.0,70,82,0.6481481481481481,0.89804276679517,-1.0588051725927616
