,centroid-0,centroid-1,area,convex_area,extent,eccentricity,orientation
1,497.4570184983678,1970.6692056583242,919,1250,0.37694831829368336,0.9486082456415883,-2.49863068165857
2,635.1458333333334,847.8333333333334,48,48,0.8571428571428571,0.6251405757637997,-2.112375810136563
3,666.1881188118812,857.7821782178218,101,109,0.8015873015873016,0.8111830978502791,-1.3731457537307263
4,679.3870967741935,1760.5483870967741,31,31,0.96875,0.8714721910315262,-1.5248732636625277
6,767.0,963.0,15,15,1.0,0.816496580927726,0.0
7,793.5,533.0333333333333,60,63,0.9090909090909091,0.8546646833409515,-0.06024915408478848
8,800.0,548.0,15,15,1.0,0.816496580927726,-1.5707963267948966
11,808.4,524.6,15,15,0.9375,0.4898979485566355,-0.785398163397448
14,821.6126126126126,363.36036036036035,222,259,0.47435897435897434,0.9814257427075821,-2.9070028615591803
15,826.8,691.5,30,33,0.8333333333333334,0.9211241176116961,-1.461002445967255
16,837.8,692.8333333333334,30,31,0.8571428571428571,0.7825229892387202,-1.9097994451653637
17,845.6139240506329,364.44303797468353,158,168,0.6929824561403509,0.840390526732673,-2.819721619922708
19,847.6461538461539,327.96923076923076,130,165,0.6190476190476191,0.9935464738624564,-3.089237102138706
20,846.2857142857143,1975.2857142857142,21,22,0.875,0.8146907709715228,-2.9487521660051614
21,853.1428571428571,1849.857142857143,21,21,0.84,0.712241974147557,-2.356194490192345
22,904.511615720524,644.6819213973799,5725,6028,0.7015931372549019,0.794842589961499,-2.656735384870982
23,869.5,298.0,24,24,0.8,0.7875027964065154,-0.9673876416522702
24,871.1071428571429,324.57142857142856,28,31,0.7,0.911202887063343,-2.7903227310000416
25,871.5,305.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
26,875.125,1989.075,40,47,0.6349206349206349,0.9002004122909194,-1.1596022283721263
27,875.9090909090909,312.90909090909093,22,22,0.88,0.4282593998234223,-2.356194490192345
29,891.1327014218009,342.01895734597156,211,303,0.3836363636363636,0.9035305331285998,-2.4507369542112887
30,896.2727272727273,324.54545454545456,33,36,0.7857142857142857,0.6528308305791193,-1.3655176027739713
31,924.7174959871589,1911.4205457463884,623,1745,0.11835106382978723,0.9844179405974901,-0.49823951386550536
32,915.0,318.111801242236,161,221,0.38333333333333336,0.9530190323255121,-2.274257927320418
33,907.15,335.55,20,23,0.6666666666666666,0.876131059718132,-2.5283853047152838
34,910.5,1993.0,18,18,0.9,0.6934837441847964,-2.7382568788790387
35,938.0892255892256,372.4410774410774,594,805,0.54,0.910725359182862,-1.4262464933096295
36,914.4285714285714,1903.0,21,24,0.75,0.9146890665807529,-0.25336219646228386
37,918.0,1863.5,12,12,1.0,0.6831300510639732,0.0
39,920.0,1869.5,24,24,0.8,0.7875027964065154,-0.6034086851426262
40,926.7076923076924,160.5076923076923,65,71,0.7738095238095238,0.922274430469119,-1.6019309415127365
41,942.5555555555555,1899.4444444444443,72,97,0.5714285714285714,0.8464155831078414,-1.4258594171522847
42,941.5,143.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
43,941.8333333333334,1881.6666666666667,18,19,0.9,0.6989295601575878,-1.2689216600961783
44,943.0,1888.0,15,15,1.0,0.816496580927726,0.0
45,954.0672268907563,155.01680672268907,119,136,0.6761363636363636,0.9523404143478501,-1.5208844380044875
46,949.725,679.5625,80,110,0.49382716049382713,0.9464070364568032,-0.3661193378462637
47,955.2549019607843,1966.862745098039,51,60,0.5604395604395604,0.9548947953512534,-1.2155736567220043
48,961.359649122807,1911.0263157894738,114,162,0.32386363636363635,0.9789498750308495,-1.0522091372180333
49,956.9583333333334,671.4166666666666,24,25,0.8,0.787020578276199,-0.5005437108015578
51,969.2394366197183,682.4225352112676,142,197,0.5201465201465202,0.9314163814674828,-1.924129356324135
52,965.0294117647059,1946.4117647058824,34,39,0.7727272727272727,0.9606658440068598,-1.4288293331326818
53,962.5,356.5,16,16,1.0,0.0,-0.7853981633974483
54,964.475,675.6,40,41,0.8333333333333334,0.7312224154021679,-1.9650006279592156
55,966.0,360.5,16,18,0.8,0.8141614619221464,-2.0256729057670015
58,972.0,445.5,12,12,1.0,0.6831300510639732,0.0
59,976.8709677419355,627.3225806451613,31,34,0.7380952380952381,0.8189814422881525,-2.5955399869947184
60,975.5714285714286,670.4285714285714,21,22,0.875,0.8054461593960613,-0.2760764952277517
61,994.7027027027027,1920.1756756756756,148,254,0.4625,0.9913555285156219,-1.5478606509681887
62,979.578947368421,1945.5263157894738,19,21,0.7916666666666666,0.8648250907976306,-2.819842099193151
63,980.5,153.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
